learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes)
10.0,0.011304,4.117488861083984E-12,100.0,34.0,0.0,-60.97560975609754,0.0,1408.0
20.0,0.023311,8.491045898861354E-12,200.0,34.0,0.0,-36.08247422680412,0.0,1408.0
30.0,0.028011,1.020302375157674E-11,300.0,33.666666666666664,0.0,-39.16083916083915,0.0,1408.0
40.0,0.031809,1.1586447556813556E-11,400.0,35.25,0.0,-33.50515463917527,0.0,1408.0
50.0,0.035197,1.2820528613196476E-11,500.0,36.6,0.0,-28.86178861788618,0.0,1408.0
60.0,0.038567,1.4048053158654104E-11,600.0,37.666666666666664,0.0,-25.92592592592593,0.0,1408.0
70.0,0.04109,1.4967057440016E-11,700.0,37.142857142857146,0.0,-27.536231884057962,0.0,1408.0
80.0,0.043516,1.585072941250271E-11,800.0,37.375,0.0,-29.457364341085263,0.0,1408.0
90.0,0.045374,1.6527507040235728E-11,900.0,36.77777777777778,0.0,-33.2552693208431,0.0,1408.0
100.0,0.047031,1.713107029596964E-11,1000.0,37.5,0.0,-29.937629937629946,0.0,1408.0
