learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes)
10.0,0.01971,1.333896070718765E-11,100.0,30.0,-1.493402928809632,2.777777777777773,5.0,2616.0
20.0,0.033741,2.2834595292806624E-11,200.0,34.0,-0.7441327990841385,2.941176470588238,5.0,2616.0
30.0,0.039206,2.6533094545205434E-11,300.0,34.66666666666667,-0.5007947766933804,3.9215686274509816,5.0,2616.0
40.0,0.043793,2.963739757736524E-11,400.0,34.0,-0.3706871970344996,2.222222222222224,5.0,2616.0
50.0,0.048247,3.265169138709704E-11,500.0,35.0,-0.2981168642796813,3.8461538461538414,5.0,2616.0
60.0,0.051793,3.505148614446322E-11,600.0,33.83333333333333,-0.24830604772526757,3.874092009685231,5.0,2616.0
70.0,0.054709,3.7024921427170436E-11,700.0,34.57142857142857,-0.21380612410757638,4.384133611691019,5.0,2616.0
80.0,0.057288,3.877028822898865E-11,800.0,34.625,-0.1865327653542318,3.6832412523020297,5.0,2616.0
90.0,0.059495,4.026389991243681E-11,900.0,34.88888888888889,-0.16637418237344992,3.4596375617792483,5.0,2616.0
100.0,0.061557,4.165938124060631E-11,1000.0,34.599999999999994,-0.1489984334491532,2.3880597014925313,5.0,2616.0
